year,month,airport,incoming,outgoing
2011,1,SBCG,994,1024
2011,1,SBMO,896,898
2011,1,SBMK,194,197
2011,1,SBSR,572,573
2011,1,SGAS,242,245
2011,1,SBBV,173,164
2011,1,SBEG,2020,2052
2011,1,SBSL,805,808
2011,1,SBGL,5655,5680
2011,1,SBKP,3902,3875
2011,1,SBBR,6922,6950
2011,1,SBBE,1804,1823
2011,1,SBPA,3460,3457
2011,1,SBFI,663,665
2011,1,SBMG,471,465
2011,1,SBGR,11786,11720
2011,1,KMIA,850,916
2011,1,SBJF,231,254
2011,1,SBCF,4839,4855
2011,1,SUMU,609,611
2011,1,SBCY,1505,1514
2011,1,SBRF,3364,3372
2011,1,SBRP,1367,1368
2011,1,SSDO,54,56
2011,1,SBUL,700,706
2011,1,SBLO,593,595
2011,1,SBNF,616,619
2011,1,SBRJ,4919,4858
2011,1,SBPJ,315,317
2011,1,SBSV,4515,4561
2011,1,SVMI,275,266
2011,1,SBFZ,2447,2452
2011,1,SBSP,7497,7415
2011,1,SBSJ,173,173
2011,1,SCEL,623,521
2011,1,SBML,171,175
2011,1,SBFL,1480,1483
2011,1,SBVT,1626,1631
2011,1,SBCT,4019,4012
2011,1,SBBH,853,832
2011,1,EDDF,258,269
2011,1,SBCH,137,139
2011,1,SBGV,182,181
2011,1,SBPL,255,255
2011,1,SBGO,1509,1510
2011,1,SBTE,476,471
2011,1,SBJV,263,267
2011,1,LEMD,534,537
2011,1,FAJS,60,49
2011,1,SAEZ,1524,1519
2011,1,SBUR,165,172
2011,1,SLVR,123,144
2011,1,SBPV,619,623
2011,1,SBNT,1304,1294
2011,1,LTBA,15,14
2011,1,SBAE,275,274
2011,1,SKBO,343,336
2011,1,SABE,653,651
2011,1,SBIP,290,291
2011,1,SBVG,52,53
2011,1,MMMX,67,71
2011,1,LEBL,10,12
2011,1,SPIM,392,382
2011,1,SBNM,47,47
2011,1,SBRB,268,277
2011,1,SBSN,381,383
2011,1,SBMA,417,422
2011,1,EHAM,49,76
2011,1,KMEM,27,23
2011,1,SBCA,183,182
2011,1,SBHT,180,180
2011,1,SBMD,42,41
2011,1,SBPK,68,68
2011,1,SBIZ,191,190
2011,1,SBAU,204,201
2011,1,SBJP,503,501
2011,1,SVVA,25,25
2011,1,LFPG,289,288
2011,1,LIMC,56,53
2011,1,SBCP,96,97
2011,1,LPPT,315,307
2011,1,SBMQ,274,282
2011,1,SBJI,150,144
2011,1,LPPR,18,18
2011,1,SBME,149,191
2011,1,SBAT,58,60
2011,1,SBSM,94,94
2011,1,SJRG,94,94
2011,1,SBCB,88,90
2011,1,SBAX,41,41
2011,1,SBAR,569,549
2011,1,SGES,79,80
2011,1,OMDB,39,39
2011,1,SWPI,88,79
2011,1,GOOY,112,114
2011,1,FNLU,35,35
2011,1,SNOX,18,18
2011,1,SBIL,346,346
2011,1,SBPS,649,647
2011,1,MUHA,7,14
2011,1,TJSJ,9,10
2011,1,SBJU,130,130
2011,1,SCDA,24,13
2011,1,KLAX,39,43
2011,1,SKRG,47,34
2011,1,SBCZ,89,91
2011,1,SACO,75,74
2011,1,SBDN,203,203
2011,1,ELLX,16,30
2011,1,SAAR,13,13
2011,1,MDPC,54,59
2011,1,SBUF,21,21
2011,1,SDOW,99,97
2011,1,SBFN,133,133
2011,1,SNJR,94,94
2011,1,SMJP,38,38
2011,1,SWGI,46,44
2011,1,SEQU,74,75
2011,1,ZBAA,9,9
2011,1,SWLB,19,19
2011,1,SBTF,85,85
2011,1,SNDT,10,10
2011,1,MPTO,402,402
2011,1,SWGN,113,113
2011,1,SNPD,21,21
2011,1,SBQV,106,106
2011,1,SWFX,34,34
2011,1,SBDB,14,14
2011,1,SBTU,42,42
2011,1,SYCJ,26,26
2011,1,SEGU,67,67
2011,1,SWLC,43,42
2011,1,SKBQ,17,17
2011,1,SJHG,21,22
2011,1,SBCJ,146,147
2011,1,SWKO,62,62
2011,1,LIRF,89,89
2011,1,SNRU,21,21
2011,1,SBPF,70,71
2011,1,SBVH,76,80
2011,1,SWHT,18,18
2011,1,SBCR,41,40
2011,1,SBCN,46,46
2011,1,SBTC,20,20
2011,1,SBCD,65,65
2011,1,SBCX,75,76
2011,1,SBLP,21,21
2011,1,LLBG,13,14
2011,1,SBIH,44,44
2011,1,SNDC,42,42
2011,1,EDDM,23,22
2011,1,SDCG,9,10
2011,1,SBMC,42,42
2011,1,SBKG,62,62
2011,1,SWEI,18,18
2011,1,SBMS,21,21
2011,1,SBCM,52,52
2011,1,SNKE,30,30
2011,1,SWSI,84,84
2011,1,SSJA,47,47
2011,1,SNGI,23,23
2011,1,SNFX,43,42
2011,1,SBUG,21,21
2011,1,SBTT,40,40
2011,1,SWOB,9,9
2011,1,SBAA,43,42
2011,1,SSER,45,45
2011,1,TNCC,32,28
2011,1,SBUY,110,110
2011,1,SBUA,26,26
2011,1,KATL,129,125
2011,1,KJAX,1,1
2011,1,SWCA,25,25
2011,1,SBTB,108,97
2011,1,SNSW,1,1
2011,1,SULS,13,13
2011,1,KMCO,48,49
2011,1,KLAS,5,5
2011,1,SWBC,28,28
2011,1,MMUN,15,15
2011,1,SSEG,0,4
2011,1,MMMD,9,23
2011,1,GVNP,8,7
2011,1,KJFK,215,237
2011,1,GCLP,1,1
2011,1,MUSC,5,2
2011,1,TNCA,9,14
2011,1,LFBO,0,1
2011,1,SBBZ,3,3
2011,1,SBAQ,4,4
2011,1,KDTW,13,14
2011,1,SJQK,6,7
2011,1,GCRR,1,1
2011,1,MNMG,2,2
2011,1,SDSC,9,7
2011,1,WSSS,1,1
2011,1,TBPB,6,6
2011,1,EGLL,91,90
2011,1,SBLE,6,6
2011,1,TNCM,5,5
2011,1,SDAG,2,2
2011,1,MMGL,13,1
2011,1,SWUQ,1,1
2011,1,SURV,2,2
2011,1,MDSD,1,1
2011,1,GVAC,28,28
2011,1,KRME,0,1
2011,1,SWBV,1,1
2011,1,SOCA,14,14
2011,1,MROC,1,1
2011,1,SDTK,1,1
2011,1,KCLT,32,31
2011,1,KEWR,31,31
2011,1,KIAH,94,93
2011,1,KIAD,95,93
2011,1,KORD,31,31
2011,1,CYYZ,31,31
2011,1,OTBD,31,31
2011,1,SKMD,9,9
2011,1,SLLP,31,31
2011,1,SWTP,8,8
2011,1,RKSI,13,13
2011,1,SNBR,52,52
2011,1,SWRD,52,52
2011,1,SSZR,21,21
2011,1,GCTS,18,18
2011,1,LSZH,31,31
2011,1,KDFW,75,75
2011,1,SLCB,22,0
2011,1,GUCY,1,0
2011,1,KAUS,1,0
2011,1,SSUM,0,0
2011,1,SSIJ,0,0
2011,1,KPBI,0,0
2011,1,KFLL,0,0
2011,1,SJLU,0,0
2011,1,SDAM,0,0
2011,1,SWGP,0,0
2011,1,SWQR,0,0
2011,1,SAZE,0,0
2011,1,SWNS,0,0
2011,1,SWJQ,0,0
2011,1,KOPF,0,0
2011,1,SKCL,0,0
2011,1,TJBQ,0,0
2011,1,MKJP,0,0
2011,1,SVMG,0,0
2011,1,SNBU,0,0
2011,1,KBNA,0,0
2011,1,SJLM,0,0
2011,1,SBBG,0,0
2011,1,SWDE,0,0
2011,1,SBTR,0,0
2011,1,SNCI,0,0
2011,1,KSFO,0,0
2011,1,SWHG,0,0
2011,1,SIXE,0,0
2011,1,EDHI,0,0
2011,1,KIND,0,0
2011,1,SDMC,0,0
2011,1,SBJR,0,0
2011,1,MMAA,0,0
2011,1,SUPE,0,0
2011,1,SSFB,0,0
2011,1,SSCK,0,0
2011,1,SAME,0,0
2011,1,SWHP,0,0
2011,1,KBOS,0,0
2011,1,SBJD,0,0
2011,1,SNVB,0,0
2011,1,SBBI,0,0
2011,1,KCHS,0,0
2011,1,LPAR,0,0
2011,1,MYNN,0,0
2011,1,LPFR,0,0
2011,1,KDAL,0,0
2011,1,EHWO,0,0
2011,1,SWKC,0,0
2011,1,KSFB,0,0
2011,1,SPLP,0,0
2011,1,SBMN,0,0
2011,1,SBES,0,0
2011,1,SARI,0,0
2011,1,SAZS,0,0
2011,1,SBTD,0,0
2011,1,SDZY,0,0
2011,1,SBYS,0,0
2011,1,SNBA,0,0
2011,1,SBGP,0,0
2011,1,KBFI,0,0
2011,1,SSKW,0,0
2011,1,KDOV,0,0
2011,1,SSPB,0,0
2011,1,SBZM,0,0
2011,1,SBBU,0,0
2011,1,EDDR,0,0
2011,1,KPHL,0,0
2011,1,MGGT,0,0
2011,1,SBAN,0,0
2011,1,SBCI,0,0
2011,1,SANT,0,0
2011,1,KHSV,0,0
2011,1,DGAA,0,0
2011,1,SNDR,0,0
2011,1,LMML,0,0
2011,1,SWIQ,0,0
2011,1,DNMM,0,0
2011,1,KRFD,0,0
2011,1,KMSY,0,0
2011,1,OMAA,0,0
2011,1,EHBK,0,0
2011,1,SNKI,0,0
2011,1,KTUS,0,0
2011,1,SBRG,0,0
2011,1,KGYR,0,0
2011,2,SBCG,892,919
2011,2,SBMO,756,759
2011,2,SBMK,176,176
2011,2,SBSR,526,527
2011,2,SGAS,215,214
2011,2,SBBV,160,153
2011,2,SBEG,1824,1835
2011,2,SBSL,710,709
2011,2,SBGL,5137,5134
2011,2,SBKP,3500,3491
2011,2,SBBR,6196,6203
2011,2,SBBE,1646,1655
2011,2,SBPA,3168,3163
2011,2,SBFI,620,620
2011,2,SBMG,428,426
2011,2,SBGR,10271,10221
2011,2,KMIA,776,831
2011,2,SBJF,202,220
2011,2,SBCF,4198,4209
2011,2,SUMU,559,560
2011,2,SBCY,1365,1366
2011,2,SBRF,2940,2947
2011,2,SBRP,1061,1064
2011,2,SSDO,50,52
2011,2,SBUL,677,683
2011,2,SBLO,543,538
2011,2,SBNF,555,552
2011,2,SBRJ,4451,4401
2011,2,SBPJ,283,282
