year,month,airport,incoming,outgoing
2010,1,SBCG,953,921
2010,1,SBMO,633,637
2010,1,SBFL,1497,1494
2010,1,SBGL,5025,5030
2010,1,SBJP,299,295
2010,1,SBSR,314,316
2010,1,SBGR,10197,10163
2010,1,SAAR,28,29
2010,1,SBSL,498,497
2010,1,SBFZ,2201,2208
2010,1,SBEG,1858,1877
2010,1,SUMU,414,415
2010,1,SBCY,1201,1230
2010,1,SBFI,499,499
2010,1,SBMG,375,373
2010,1,SBAU,177,170
2010,1,SBSV,4080,4089
2010,1,SBML,332,334
2010,1,SBRJ,4736,4674
2010,1,SBKP,3264,3250
2010,1,SBLO,504,503
2010,1,SBUL,644,644
2010,1,SBPA,3200,3185
2010,1,SBCF,3558,3548
2010,1,SVMI,271,268
2010,1,SBBE,1352,1337
2010,1,SSDO,55,57
2010,1,EDDF,208,216
2010,1,SBRF,2660,2702
2010,1,SCEL,527,476
2010,1,SAEZ,1878,1869
2010,1,SBVT,1468,1476
2010,1,SBSP,7202,7120
2010,1,SBCT,3391,3386
2010,1,SBSJ,76,74
2010,1,SBUR,109,107
2010,1,SGAS,230,231
2010,1,KMIA,869,930
2010,1,SBCH,133,132
2010,1,SBPL,138,139
2010,1,LPPR,19,19
2010,1,SBBH,886,877
2010,1,SBTE,243,243
2010,1,FAJS,32,31
2010,1,SLVR,154,155
2010,1,SBRP,844,846
2010,1,LIRF,82,83
2010,1,SBGV,115,114
2010,1,SBPV,410,411
2010,1,SJTC,410,412
2010,1,SBNM,26,26
2010,1,SPIM,300,292
2010,1,SBPK,57,54
2010,1,SBMK,149,149
2010,1,SKBO,275,276
2010,1,SBPS,525,529
2010,1,SBBR,6110,6188
2010,1,MMMX,82,86
2010,1,SBNT,1013,1011
2010,1,SGES,92,92
2010,1,LIMC,67,63
2010,1,SBHT,180,180
2010,1,SBRB,152,151
2010,1,SBIP,261,260
2010,1,SBSN,378,373
2010,1,EHAM,48,61
2010,1,SBMA,247,252
2010,1,KMEM,23,24
2010,1,SBCA,164,174
2010,1,SBPJ,121,121
2010,1,SBMD,26,26
2010,1,SBRG,68,67
2010,1,SBIZ,186,186
2010,1,SVVA,22,22
2010,1,SBGO,1069,1073
2010,1,SCDA,19,18
2010,1,SSER,40,40
2010,1,SBCP,103,97
2010,1,SBSM,53,52
2010,1,SBNF,387,391
2010,1,GOOY,111,113
2010,1,SBCB,42,41
2010,1,LPPT,245,243
2010,1,SWJI,144,140
2010,1,SBME,147,192
2010,1,SBAT,58,58
2010,1,SBAX,43,43
2010,1,SBAR,413,413
2010,1,SWKO,56,56
2010,1,SBJF,191,223
2010,1,SBPF,63,64
2010,1,SIZX,17,17
2010,1,SWPI,135,135
2010,1,SWJN,26,26
2010,1,SNOX,18,18
2010,1,OMDB,31,31
2010,1,SBBV,110,104
2010,1,LTBA,13,14
2010,1,SWRD,78,79
2010,1,KLAX,53,57
2010,1,SBJU,145,145
2010,1,SBMQ,185,185
2010,1,SBCZ,43,43
2010,1,SBDN,220,222
2010,1,LEBL,10,10
2010,1,LFPG,283,275
2010,1,ELLX,14,25
2010,1,SACO,75,76
2010,1,SDOW,103,100
2010,1,SBFN,129,129
2010,1,SMJP,39,39
2010,1,SNJR,94,95
2010,1,SWGI,81,80
2010,1,SBIL,269,269
2010,1,SEQU,79,53
2010,1,SWLB,18,19
2010,1,SBDB,9,22
2010,1,SNDT,23,23
2010,1,LEMD,475,492
2010,1,SWMW,13,13
2010,1,KATL,131,144
2010,1,SBJV,171,171
2010,1,SWGN,44,42
2010,1,SEGU,61,61
2010,1,SBTF,70,65
2010,1,SWFX,34,34
2010,1,SWLC,42,42
2010,1,MPTO,348,356
2010,1,SYCJ,26,26
2010,1,SBTU,42,42
2010,1,SWSI,118,114
2010,1,SJHG,17,18
2010,1,SKBQ,18,18
2010,1,SBTT,42,40
2010,1,SBQV,73,73
2010,1,SNDC,63,63
2010,1,SOCA,27,27
2010,1,SBCJ,85,85
2010,1,SBCM,14,14
2010,1,SBVH,74,79
2010,1,GCTS,17,18
2010,1,SWHT,19,18
2010,1,SBTC,17,17
2010,1,SBCX,80,82
2010,1,SBLP,21,21
2010,1,SBCR,66,62
2010,1,SBIH,87,92
2010,1,SSJA,44,44
2010,1,FACT,13,14
2010,1,SDCG,9,10
2010,1,SBMC,42,42
2010,1,SBKG,64,63
2010,1,SNBR,42,42
2010,1,SBGU,20,20
2010,1,SWEI,18,18
2010,1,EGLL,75,76
2010,1,SBCD,30,31
2010,1,SNKE,25,25
2010,1,SNGI,23,22
2010,1,SILC,5,5
2010,1,SNFX,43,42
2010,1,SWOB,9,9
2010,1,MMMD,8,18
2010,1,SBAA,42,42
2010,1,MUHA,5,5
2010,1,SBUG,14,14
2010,1,KJFK,200,203
2010,1,MDPC,23,23
2010,1,SULS,15,15
2010,1,SBCN,37,37
2010,1,TNCM,5,5
2010,1,SWUQ,6,6
2010,1,SKRG,77,54
2010,1,MMUN,9,11
2010,1,TNCA,10,10
2010,1,KFLL,15,1
2010,1,SJQK,18,18
2010,1,SWRP,27,27
2010,1,SVJC,4,4
2010,1,GCXO,0,1
2010,1,SBUA,27,27
2010,1,ZBAA,11,9
2010,1,SJRG,0,1
2010,1,SBJR,7,3
2010,1,SWBC,22,22
2010,1,LPFR,1,1
2010,1,FNLU,36,36
2010,1,TNCC,28,28
2010,1,SUPE,1,1
2010,1,LLBG,15,15
2010,1,SDSC,6,7
2010,1,MROC,1,1
2010,1,SWAE,1,1
2010,1,SBAG,2,2
2010,1,TJSJ,1,3
2010,1,SPCL,0,1
2010,1,SNJB,1,1
2010,1,SBTR,1,1
2010,1,SBTV,1,1
2010,1,KGSO,0,1
2010,1,TJBQ,4,5
2010,1,KIAD,74,73
2010,1,KIAH,93,93
2010,1,KEWR,31,31
2010,1,CYYZ,31,31
2010,1,KORD,31,31
2010,1,SKMD,12,9
2010,1,TTPP,5,5
2010,1,SBTB,94,94
2010,1,RJAA,14,13
2010,1,SWTP,9,9
2010,1,SBMY,13,13
2010,1,SLLP,31,31
2010,1,RKSI,14,13
2010,1,SWBR,13,13
2010,1,SBLE,5,5
2010,1,SNPD,21,21
2010,1,SSZR,14,14
2010,1,EDDM,22,22
2010,1,GVNP,4,5
2010,1,LSZH,29,27
2010,1,MDSD,5,5
2010,1,MRSJ,4,4
2010,1,KMCO,31,31
2010,1,KCLT,32,38
2010,1,GVAC,27,27
2010,1,KDFW,62,62
2010,1,KRFD,1,0
2010,1,OERK,1,0
2010,1,MMGL,10,0
2010,1,GCLP,0,0
2010,1,SWNK,0,0
2010,1,SDCO,0,0
2010,1,SNYB,0,0
2010,1,SDAM,0,0
2010,1,MGGT,0,0
2010,1,CYMX,0,0
2010,1,KJAX,0,0
2010,1,SBAE,0,0
2010,1,SABE,0,0
2010,1,SBJI,0,0
2010,1,SJUQ,0,0
2010,1,SWBI,0,0
2010,1,SARE,0,0
2010,1,SSIJ,0,0
2010,1,SBBQ,0,0
2010,1,KBFI,0,0
2010,1,SWBU,0,0
2010,1,SURV,0,0
2010,1,SNPY,0,0
2010,1,KOPF,0,0
2010,1,KDOV,0,0
2010,1,LPAR,0,0
2010,1,KGYR,0,0
2010,1,SKCL,0,0
2010,1,SWCA,0,0
2010,1,EDHI,0,0
2010,1,LFBO,0,0
2010,1,SBGP,0,0
2010,1,SWUY,0,0
2010,1,SNCI,0,0
2010,1,SNSW,0,0
2010,1,SIXE,0,0
2010,1,KSTL,0,0
2010,1,KGTF,0,0
2010,1,SNVB,0,0
2010,1,SBMN,0,0
2010,1,SNAP,0,0
2010,1,SNRU,0,0
2010,1,FALE,0,0
2010,1,SAZS,0,0
2010,1,LFBD,0,0
2010,1,SBBG,0,0
2010,1,SBBZ,0,0
2010,1,SSSC,0,0
2010,1,DNMM,0,0
2010,1,TBPB,0,0
2010,1,SJCW,0,0
2010,1,OTBD,0,0
2010,1,FAUP,0,0
2010,1,KLCQ,0,0
2010,1,SAWH,0,0
2010,1,MUSC,0,0
2010,1,LFCF,0,0
2010,1,MMAA,0,0
2010,1,KLIT,0,0
2010,1,SAME,0,0
2010,1,EBLG,0,0
2010,1,SBBT,0,0
2010,1,SBMS,0,0
2010,1,SWBV,0,0
2010,1,SBUF,0,0
2010,1,EDDT,0,0
2010,1,TFFF,0,0
2010,1,SWPC,0,0
2010,1,SNTF,0,0
2010,1,SSEG,0,0
2010,1,KBOS,0,0
2010,1,SBVG,0,0
2010,1,SBUY,0,0
2010,1,SANT,0,0
2010,1,MKJP,0,0
2010,1,SBAN,0,0
2010,1,KDTW,0,0
2010,1,SVMG,0,0
2010,1,OMAA,0,0
2010,1,SLCB,0,0
2010,1,GMMN,0,0
2010,1,SVMC,0,0
2010,1,KRME,0,0
2010,1,SPQT,0,0
2010,1,KWRI,0,0
2010,1,KPHL,0,0
2010,1,KLAS,0,0
2010,1,SDTK,0,0
2010,1,WSSS,0,0
2010,1,SBBI,0,0
2010,1,GCRR,0,0
2010,1,EGTE,0,0
2010,2,SBCG,879,862
2010,2,SBMO,554,552
2010,2,SBFL,1336,1341
2010,2,SBGL,4358,4375
2010,2,SBJP,259,260
2010,2,SBSR,279,279
2010,2,SBGR,9103,9044
2010,2,SAAR,24,24
2010,2,SBSL,473,476
2010,2,SBFZ,1915,1916
2010,2,SBEG,1703,1696
2010,2,SUMU,359,360
2010,2,SBCY,1146,1163
2010,2,SBFI,447,451
2010,2,SBMG,354,357
2010,2,SBAU,144,144
2010,2,SBSV,3605,3620
2010,2,SBML,284,283
2010,2,SBRJ,4311,4267
2010,2,SBKP,2896,2891
2010,2,SBLO,455,454
2010,2,SBUL,585,588
2010,2,SBPA,2881,2864
2010,2,SBCF,3163,3162
2010,2,SVMI,225,229
2010,2,SBBE,1216,1212
2010,2,SSDO,49,50
2010,2,EDDF,186,194
2010,2,SBRF,2377,2424
2010,2,SCEL,490,435
2010,2,SAEZ,1676,1673
2010,2,SBVT,1362,1362
2010,2,SBSP,6421,6369
2010,2,SBCT,3086,3085
2010,2,SBSJ,76,74
2010,2,SBUR,97,96
2010,2,SGAS,199,200
2010,2,KMIA,782,842
2010,2,SBCH,119,118
2010,2,SBPL,108,108
2010,2,LPPR,16,16
2010,2,SBBH,821,810
2010,2,SBTE,220,221
2010,2,FAJS,30,28
2010,2,SLVR,119,120
2010,2,SBRP,750,751
2010,2,LIRF,74,73
2010,2,SBGV,163,161
2010,2,SBPV,372,372
2010,2,SJTC,370,370
2010,2,SBNM,25,26
2010,2,SPIM,275,273
2010,2,SBPK,53,53
2010,2,SBMK,147,146
2010,2,SKBO,258,264
2010,2,SBPS,419,419
2010,2,SBBR,5538,5583
2010,2,MMMX,77,77
2010,2,SBNT,926,924
2010,2,SGES,82,81
2010,2,LIMC,60,58
2010,2,SBHT,167,167
2010,2,SBRB,170,166
2010,2,SBIP,301,302
2010,2,SBSN,351,347
2010,2,EHAM,40,57
2010,2,SBMA,229,230
2010,2,KMEM,23,21
2010,2,SBCA,161,162
2010,2,SBPJ,108,108
2010,2,SBMD,24,24
2010,2,SBRG,44,44
2010,2,SBIZ,170,170
2010,2,SVVA,20,20
2010,2,SBGO,970,972
2010,2,SCDA,19,16
2010,2,SSER,24,24
2010,2,SBCP,96,93
2010,2,SBSM,52,52
2010,2,SBNF,338,336
2010,2,GOOY,100,103
2010,2,SBCB,32,32
2010,2,LPPT,218,217
2010,2,SWJI,140,132
2010,2,SBME,142,180
2010,2,SBAT,52,52
2010,2,SBAX,35,35
2010,2,SBAR,370,370
2010,2,SWKO,53,53
2010,2,SBJF,186,212
2010,2,SBPF,60,62
2010,2,SIZX,16,16
2010,2,SWPI,125,124
2010,2,SWJN,24,25
2010,2,SNOX,16,16
2010,2,OMDB,28,28
2010,2,SBBV,100,96
2010,2,LTBA,12,12
2010,2,SWRD,54,54
2010,2,KLAX,47,52
2010,2,SBJU,114,114
2010,2,SBMQ,166,166
2010,2,SBCZ,52,55
2010,2,SBDN,199,195
2010,2,LEBL,8,8
2010,2,LFPG,245,248
2010,2,ELLX,12,23
2010,2,SACO,61,63
2010,2,SDOW,98,97
2010,2,SBFN,115,115
2010,2,SMJP,34,34
2010,2,SNJR,91,91
2010,2,SWGI,75,71
2010,2,SBIL,227,227
2010,2,SEQU,74,52
2010,2,SWLB,16,16
2010,2,SBDB,8,20
2010,2,SNDT,13,13
2010,2,LEMD,431,433
2010,2,SWMW,12,12
2010,2,KATL,121,130
2010,2,SBJV,152,153
2010,2,SWGN,40,40
2010,2,SEGU,56,56
2010,2,SBTF,62,58
2010,2,SWFX,32,32
2010,2,SWLC,40,40
2010,2,MPTO,312,316
2010,2,SYCJ,22,22
2010,2,SBTU,40,40
2010,2,SWSI,120,113
2010,2,SJHG,17,19
2010,2,SKBQ,16,16
